song,album,lyrics
“008”,Unknown,"Okay Well Before I had a single dollar to my name Saw them getting money, I was tryna do the same Standing on my tippy toes, Wanna raise the bar I had a ra-"
100 Grandkids,"{'api_path': '/albums/1494224', 'cover_art_url': 'https://images.genius.com/3cce4a4bae9c381ea77fbfcf07cb9764.1000x1000x1.png', 'full_title': 'GO:OD AM (10th Anniversary) by Mac Miller', 'id': 1494224, 'name': 'GO:OD AM (10th Anniversary)', 'primary_artist_names': 'Mac Miller', 'release_date_for_display': 'October 24, 2025', 'url': 'https://genius.com/albums/Mac-miller/Go-od-am-10th-anniversary', 'artist': {'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}, 'primary_artists': [{'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}]}","Wh-oa (Hey) Wow-wow-wow-wow-wow-wow-wow (Hello) Wow-wow (This is a revolution) Wow-wow, wh-oa Woah-oh (Yo) Wow-wow-wow-wow-wow-wow-wow Wow-wow, wow-wow (As we proceed) Wow-wow Yeah, I Made a promise to my mama that I'll bless her With some grandkids (Grandkids), she can spoil 'em (Spoil 'em) Until then, I'm gettin' dollars, I'm just doin' what I gotta Can a man live? And it's all day, homie I'm a god, give the whole squad a job, get 'em all paid Came a long way from all-state, yeah, now we All-American (Salute me, shoot me) Shit, we All-American, yeah (Salute me, shoot me down) I swear to God I put the hero in heroin (Dope), these flows kilos I could sell snow to a ski slope I could sell evil to the Devil, nonbelievers to a temple Shit, I could sell water to a speedboat And these eyes is iconic I went pro, made profit, now I keep some dead faces in my pocket Gettin' faded, I been stoned all week (All week) But what's a God without a little OD? Just a G Twistin' my weed, easin' my mind Why you worry about me? Stop trippin', I'm fine Swear these bitches done lost it lately You put the ho in honest, baby, so complicated And I may be a little arrogant, I'm aware of it I know (Goddamn), I know I got a problem, I'ma take care of it, weight I'm carryin', gotta let it go It won't hold me down no more Made a promise to my mama that I'll bless her With some grandkids (Yeah), she can spoil 'em (Spoil 'em) Until then, I'm gettin' dollars, I'm just doin' what I gotta Can a man live? And it's all day, homie I'm a god, give the whole squad a job, get 'em all paid Came a long way from all-state, yeah, now we All-American (Salute me, shoot me) Shit, we All-American (Salute me, shoot me down) We ain't Goin' nowhere, we ain't Goin' nowhere, we can't be stopped now 'Cause this rap shit for life We ain't Goin' nowhere, we ain't Goin' nowhere, we can't be stopped now 'Cause this rap shit for life Back then I had a dream I'd get this money, man I know my life would change Just need a hundred grand Back then I had a dream I'd get this money, man I know, my life would change Just need a hundred grand Yeah Back when I first made a hundred grand Yeah, back when I first made a... Yeah Back when I first made a hundred grand Yeah Yeah, back when I first made a hundred grand Thought I was the shit ( Oh, you the shit? ) When I first made a hundred grand Thought I was a king ( Oh, you a king? ) When I first made a hundred grand Couldn't tell me nuttin' ( I ain't sayin' nuttin' ) When I first made a hundred grand Made a hundred grand ( Let me get some money ) Yeah, okay Back then they used to call me little But now I'm ridin' somethin' clean in a coat made of armadillo They haven't got the memo, I'm sayin' I'm the shit, though Tryna make it complicated when this shit is simple (Simple) Tell me what you wanna be, what your dreams is (What your dreams is) A hundred G's in my jeans, I'm a genius (I'm a genius) Sin every day, someone save me please And get schooled, homie, change degrees (Uh-huh) I'm the plug, what you need though? (What you need though?) I'm goin' beast mode I keep a freak, even when she underwater she can deep throat (Wait, what?) I made a mill' before I paid a bill (Okay) 'Cause fools worried about a wave, I'm a Navy SEAL (Okay) Come with me, I can make your life change for real (Woo) Always had a dream of stuntin', it ain't nothin' unless you runnin' shit (Woo) Just a young ma'fucker with a plan (With a plan) Thought I was the man Back when I first made a hundred grand Thought I was the shit ( Oh, you the shit? ) When I first made a hundred grand Thought I was a king ( Oh, you a king? ) When I first made a hundred grand Couldn't tell me nuttin' ( I ain't sayin' nuttin' ) When I first made a hundred grand Made a hundred grand ( Let me get some money ) (Time flies) Let me get some money Let me, let me get some money (Yeah, you know time flies) Malcolm, can we go to mall? I just need some shoes and my nails (Try to catch it) And then can we stop at Chipotle? (Yeah, time flies) Let me get some money Let me, let me get some money (Yeah, you ever see the way time flies?) Let me get some money (Try to catch it) Let me get some money"
1 Threw 8,"{'api_path': '/albums/15274', 'cover_art_url': 'https://images.genius.com/9f3e31668f35e32bd3eddb95e203e518.1000x1000x1.png', 'full_title': 'Macadelic by Mac Miller', 'id': 15274, 'name': 'Macadelic', 'primary_artist_names': 'Mac Miller', 'release_date_for_display': 'March 23, 2012', 'url': 'https://genius.com/albums/Mac-miller/Macadelic', 'artist': {'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}, 'primary_artists': [{'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}]}","What are you afraid of? What are you afraid of? What are you afraid of? ספר לי על הפחדים שלך What are you afraid of? (Uh) What are you afraid of? What are you afraid of? One-two, one-two, uh Tell me your fears Sometimes I see the— ( Is everything okay? ) ספר לי על הפחדים שלך Uh ( Tell me your fears ) Sometimes I see the world for how fucked up it really is I tell myself I'll be the one to make a change in it I could die tonight, not make it to the sunrise Then I couldn't heal the pain in it I'm gettin' high to forget about the lows, though Get a paycheck, spend it all on Polo Designer brands cover up my insecurities Personally I ain't nothin' but an average Joe, though Now I'm dressin' so expensive for no reason Cold world we livin' in, it's below freezin' I got some fam who can't afford a coat So I leave a little paper there before I go Spent a thousand on a hotel, they poor and broke Made me wonder who I'm prayin' to before the show This a letter to whoever, I'm just tryna set you free Remember love if you can't remember me Dear people on Earth after I die What's the weather like? (One, two, three, four Five, six, seven, eight) And I ain't perfect but I try Hey, I wonder if I'll maybe get a second life This time I'ma get it right It's either God or the Devil with these drugs I'm on I don't know if we were meant to see it all like this Still, plantin' seeds so my money long Money addict, it's a habit that my palms gon' itch I wish we could just all get rich Sometimes not havin' money is all I miss And, yeah, these hoes are all up on my dick The all American girl, that's just a blonde hair bitch Am I supposed to have some thoughts like this? Could we figure out what God might've miss? It's funny that these questions never get an answer Life a bitch sometimes, you gotta reprimand her Never understand her, why should I even try? Live forever, then you'll never feel the need to die This a letter, open it to set you free Remember love and remember me Dear people on Earth after I die What's the weather like? (One, two, three, four Five, six, seven, eight) And I ain't perfect but I try Hey, I wonder if I'll maybe get a second life This time I'ma get it right What does it mean to be a sensation? Do you have to be sensational? And how you know you made it? When you're with Killa Cam watchin' Paid in Full I never had good grades in school But shock the world is what I came to do I got a song I wanna play for you So can you sing that back to me? I said, what does it mean to be a sensation? Do you have to be sensational? How you know you made it? When you're with Killa Cam watchin' Paid in Full I never had good grades in school But shock the world is what I came to do I got a song I wanna play for you So can you sing that back to me?"
2004,Unknown,"Yeah We fill their head with lies, like lemme change yo' life Let's become friends tonight, I'll show you what Heaven's like Ma-ma-make sure yo' dress is tight, show me them legs and thighs Feel it up, girl, that's just right, sex is an exercise Th-th-th-these dudes intimidated, you-you-you got 'em petrified N-n-n-n-now you gettin' naked, girl, you just read my mind Pop this, get energized, sniff this, get еxtra high All them celebs you likе, let's be just like them tonight You work from 10 to 5, strippin' to just get by You ain't no weddin' bride, open up, lemme check inside That well is never dry, must confess, I'll testify Lord, that pussy felt divine, I came back a second time I-I see them temptin' eyes, you on yo' best behavior You got work in the mornin', we'll worry 'bout that later This time, girl, let it slide, you feel so wet inside That pussy never lie (Good, good), girl, that pussy never lie It's 2004 (Good, good; girl, that pussy never lie) It's 2004 (That-that-that-that-that-that pussy never lie) Girl, do it like 2004 (Good, good, good, good; girl, that pussy never lie) Girl, do it like 2004 (That pussy never lie, that-that pussy never lie) I-I see them temptin' eyes, you on yo' best behavior You got work in the mornin', we'll worry 'bout that later This time, girl, let it slide, you feel so wet inside That pussy never lie (Good, good), girl, that pussy never lie It's 2004 (Good, good; girl, that pussy never lie) It's 2004 (That-that-that-that-that-that pussy never lie) Girl, do it like 2004 (Good, good, good, good; girl, that pussy never lie) Girl, do it like 2004 (That pussy never lie, that-that pussy never lie)"
2009,"{'api_path': '/albums/841070', 'cover_art_url': 'https://images.genius.com/ba6eafc4860e2a6b83e57617100ffd98.768x768x1.jpg', 'full_title': 'Swimming in Circles by Mac Miller', 'id': 841070, 'name': 'Swimming in Circles', 'primary_artist_names': 'Mac Miller', 'release_date_for_display': 'December 18, 2020', 'url': 'https://genius.com/albums/Mac-miller/Swimming-in-circles', 'artist': {'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}, 'primary_artists': [{'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}]}","Yeah Eric Well I don't need to lie no more Nowadays all I do is shine, take a breath and ease my mind, and She don't cry no more She tell me that I get her high 'cause an angel's s'posed to fly, and I ain't askin' ""Why?"" no more Oh, no, I take it if it's mine, I don't stay inside the lines It ain't 2009 no more Yeah, I know what's behind that door Yeah, okay, you gotta jump in to swim Well, the light was dim in this life of sin Now every day I wake up and breathe I don't have it all but that's alright with me Take it nice and easy, took a flight to see me Send you back home with a light that's beamin' The whole team 'bout to figure it out We ice cold, that's what winter about And sometimes, sometimes I wish I took a simpler route Instead of havin' demons that's as big as my house, mhm Have a ball with a dribble and bounce 'Cause the party ain't over 'til they're kickin' me out, yeah Isn't it funny? We can make a lot of money Buy a lot of things just to feel a lot of ugly I was yea high and muddy Lookin' for what was lookin' for me But I don't need to lie no more Nowadays all I do is shine, take a breath and ease my mind, and She don't cry no more She tell me that I get her high 'cause an angel's s'posed to fly, and I ain't askin' ""Why?"" no more Oh, no, I take it if it's mine, I don't stay inside the lines It ain't 2009 no more Yeah, I know what's behind that door Yeah, they ask me what I'm smilin' for Well, because I've never been this high before It's like I never felt alive before Mhm, I'd rather have me peace of mind than war You see, me and you, we ain't that different I struck the fuck out and then I came back swingin' Take my time to finish, mind my business A life ain't a life 'til you live it, I was diggin' me a hole Big enough to bury my soul Weight of the world, I gotta carry my own, my own With these arms, I can carry you home I'm right here when you scared and alone, and I ain't never in a hurry You don't ever gotta worry Even when it's 7:30 and the time is runnin' low When your heart get cold See what's behind all them unturned stones And I'm a pro when it come to my job But really I'm just tryna start believin' in God Now when it gets hard I don't panic, I don't sound the alarm Because I don't need to lie no more Nowadays all I do is shine, take a breath and ease my mind, and She don't cry no more She tell me that I get her high 'cause an angel's s'posed to fly, and I ain't askin' ""Why?"" no more Oh, no, I take it if it's mine, I don't stay inside the lines It ain't 2009 no more Yeah, I know what's behind that door I don't need to lie no more Nowadays all I do is shine, take a breath and ease my mind, and She don't cry no more She tell me that I get her high 'cause an angel's s'posed to fly, and I ain't askin' ""Why?"" no more Oh, no, I take it if it's mine, I don't stay inside the lines It ain't 2009 no more Yeah, I know what's behind that door"
2009 (Live at NPR’s Tiny Desk),"{'api_path': '/albums/1384456', 'cover_art_url': 'https://images.genius.com/0183951c278dca3b99cda502bcc94492.999x999x1.jpg', 'full_title': 'NPR Music Tiny Desk Concert by Mac Miller', 'id': 1384456, 'name': 'NPR Music Tiny Desk Concert', 'primary_artist_names': 'Mac Miller', 'release_date_for_display': 'August 3, 2023', 'url': 'https://genius.com/albums/Mac-miller/Npr-music-tiny-desk-concert', 'artist': {'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}, 'primary_artists': [{'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}]}","Yeah, ah I don't need to lie no more Nowadays, all I do is shine, take a breath and ease my mind, and She don't cry no more She tell me that I get her high 'cause an angel's s'posed to fly, and I ain't askin' ""Why?"" no more Oh, no, I take it if it's mine, I don't stay inside the lines It ain't 2009 no more Yeah, I know what's behind that door Yeah, okay, you gotta jump in to swim Well, the light was dim in this life of sin Now every day I wake up and breathe I don't have it all, but that's alright with me Take it nice and easy, took a flight to see me Send you back home with a light that's beamin' The whole team 'bout to figure it out We ice cold, that's what winter about And sometimes, sometimes I wish I took a simpler route Instead of havin' demons that's as big as my house, mhm Have a ball with a dribble and bounce 'Cause the party ain't over 'til they're kickin' me out, yeah Isn't it funny? We can make a lot of money Buy a lot of things just to feel a lot of ugly I was yea high and muddy Lookin' for what was lookin' for me But I don't need to lie no more Nowadays, all I do is shine, take a breath and ease my mind, and She don't cry no more She tell me that I get her high 'cause an angel's s'posed to fly, and I ain't askin' ""Why?"" no more Oh, no, I take it if it's mine, I don't stay inside the lines It ain't 2009 no more Yeah, I know what's behind that door Yeah, they ask me what I'm smilin' for Well, because I've never been this high before It's like I never felt alive before, yeah I'd rather have me peace of mind than war See, me and you, we ain't that different I struck the fuck out and then I came back swingin' Take my time to finish, mind my business A life ain't a life 'til you live it, I was diggin' me a hole Big enough to bury my soul Weight of the world, I gotta carry my own My own, with these arms I can carry you home I'm right here when you scared and alone, and you never get a hurry I ain't never in a hurry Even when it's 7:30 and the time is runnin' low When your heart get cold See what's behind all them unturned stones And I'm a pro when it come to my job But really I'm just tryna start believin' in God, yeah Now when it gets hard I don't panic, I don't sound the alarm Because I don't need to lie no more Nowadays all I do is shine, take a breath and ease my mind, and She don't cry no more She tell me that I get her high 'cause an angel's s'posed to fly, and I ain't askin' ""Why?"" no more Oh, no, I take it if it's mine, I don't stay inside the lines It ain't 2009 no more Yeah, I know what's behind that door I don't need to lie no more Nowadays all I do is shine, take a breath and ease my mind, and She don't cry no more She tell me that I get her high 'cause an angel's s'posed to fly, and I ain't askin' ""Why?"" no more Oh, no, I take it if it's mine, I don't stay inside the lines It ain't 2009 no more Yeah, I know what's behind that door"
25,Unknown,"I could see why they get so jealous I want it all for myself, I'm selfish, mm I don't consider that greedy 'cause there just ain't enough to go around Every now and then, I freak out 'cause I work week round to make sure we all good There just ain't enough to go around Yeah, well Why does everybody look so worried? Why they always runnin', but they never in a hurry? I just want to show off my brand new car It cost so much, I'm too scared to park it We swimmin' in this ocean, though beware of sharks, please They'll get you if come within arms reach, mm I'm cookin' somеthin', get away from my parsley I hit the lick and dip in thе Harley My life so gnarly, beyond your wildest dreams Private planes, flyin' the wings Diamonds and things Super, super stardom What a treat, goddamn, I'm starvin' It ain't no bargain Rake your leaves and make your garden, grow your trees The bullshit nothin' 'til it go to my knees Came a long way from that little apartment I could see why they get so jealous I want it all for myself, I'm selfish, mm I don't consider that greedy 'cause there just ain't enough to go around Every now and then, I freak out 'cause I work week round to make sure we all good There just ain't enough to go around"
25/8,Unknown,"Yep, yeah Okay (These mothafuckas) Any day in the week, every month, all year round (These mothafuckas crazy) No danger to me The game made me a beast, and I gotta eat (These mothafuckas) Think this shit come easy No handouts, no mothafuckin' freebies (These mothafuckas lazy) I'ma be awake at my wake (Yeah) (Count your blessings) Fuck 24/7, shit is... 25/8 (No sleep) 25/8 (All day, every day) 25/8 (Gotta eat) 25/8 (Too much money to be made) 25/8 (This shit ain't free) 25/8 (Yeah) (Can't afford to wait no more) 25/8 (Tell God, ""Good mornin',"" when I wake up) (But one day I'm gon' rule the world) Yeah Never taken shit for granted Spent a lot of days in this game 'fore I ran it (25/8) When the money gone, hoes vanish (Dorothy) We ain't in Kansas no more (Yeah) Bitches won't stop callin' my line But I'm too busy turnin' water to wine Lot on my mind, type of things happen all of the time You gotta get yours, but me, I gotta get mine Homie, I made it from the basement to Gettin' faded on stage with Snoop It's the capital M-A-C M-I, double-L, don't forget the E-R It's plenty room for you and your crew M-O-S-T-D-O-P-E, that's who we are The flow cold, get a bubble goose Got a old soul, but the money new There's a difference between hobbies and careers For Heaven's sake I had it up to here with... (These mothafuckas) Any day in the week, every month, all year round (These mothafuckas crazy) No danger to me The game made me a beast, and I gotta eat (These mothafuckas) Think this shit come easy No handouts, no mothafuckin' freebies (These mothafuckas lazy) I'ma be awake at my wake (Yeah) (Count your blessings) Fuck 24/7, shit is... 25/8 (No sleep) 25/8 (All day, every day) 25/8 (Gotta eat) 25/8 (Too much money to be made) 25/8 (This shit ain't free) 25/8 (Yeah) (Can't afford to wait no more) 25/8 (Tell God, ""Good mornin',"" when I wake up) (But one day I'm gon' rule the world) If you lookin' for a king then you found one Popped out of my mother placenta with a crown on Got a new bitch, keep the frown on She tell me I need to grow up I tell her she need to get on my level and show respect to the motherfucker that's cuttin' the check She ain't gonna be around long and that's fine For now we naked on the couch, watchin' movies with the sound on this time But never mind, that's another story For a better time, when it's better for me Cold dough burger, shit is 40 Might fuck around, pour a four in a 40 Now it's four in the mornin' She out cold, sleepin' on the couch with her mouth wide, me, I'm still goin' Fuck everybody but us That's why I can't trust... (These mothafuckas) Any day in the week, every month, all year round (These mothafuckas crazy) No danger to me The game made me a beast, and I gotta eat (These mothafuckas) Think this shit come easy No handouts, no mothafuckin' freebies (These mothafuckas lazy) I'ma be awake at my wake (Yeah) (Count your blessings) Fuck 24/7, shit is... 25/8 (No sleep) 25/8 (All day, every day) 25/8 (Gotta eat) 25/8 (Too much money to be made) 25/8 (This shit ain't free) 25/8 (Can't afford to wait no more) 25/8 (Tell God, ""Good mornin',"" when I wake up) (But one day I'm gon' rule the world) 25/8"
3rd Dimension,"{'api_path': '/albums/623627', 'cover_art_url': 'https://images.genius.com/9fd1805cf7829d047a5f0ea5ca4bc999.600x600x1.jpg', 'full_title': 'Piff Jar by TreeJay & CLOCKWORKDJ', 'id': 623627, 'name': 'Piff Jar', 'primary_artist_names': 'TreeJay & CLOCKWORKDJ', 'release_date_for_display': 'April 20, 2011', 'url': 'https://genius.com/albums/Treejay-and-clockworkdj/Piff-jar', 'artist': {'api_path': '/artists/125252', 'header_image_url': 'https://images.genius.com/4c4463064796c9f8e3e728e2af17070f.423x423x1.jpg', 'id': 125252, 'image_url': 'https://images.genius.com/4c4463064796c9f8e3e728e2af17070f.423x423x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'TreeJay', 'url': 'https://genius.com/artists/Treejay'}, 'primary_artists': [{'api_path': '/artists/125252', 'header_image_url': 'https://images.genius.com/4c4463064796c9f8e3e728e2af17070f.423x423x1.jpg', 'id': 125252, 'image_url': 'https://images.genius.com/4c4463064796c9f8e3e728e2af17070f.423x423x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'TreeJay', 'url': 'https://genius.com/artists/Treejay'}, {'api_path': '/artists/1698077', 'header_image_url': 'https://images.genius.com/e86fe94794441839815da5ac122b9d5e.400x400x1.jpg', 'id': 1698077, 'image_url': 'https://images.genius.com/e86fe94794441839815da5ac122b9d5e.400x400x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'CLOCKWORKDJ', 'url': 'https://genius.com/artists/Clockworkdj'}]}","They think that I'ma lose my mind out here Ask me where I think I'll be this time next year But I don't care, I'm livin' it up, I'm livin' it up, I'm livin' it up Said I don't care, I'm li-li-li-li-li-li-li-li-livin' it up (Hey, hey) They wonder where I'm gon' be at Posted with my chief sack Seat back, keep this shit together like a knee cap He's that bad motherfucker with a attitude Haters try and play him, I ain't even gettin' mad at you Fruity Judy spittin', but he rappin' like kiwi I receive better than your satellite TV Creepy, the rhymes that'll give 'em heebie-jeebies Hoes showin' titties, tryna get a CD free Please, grass stay together like it's welted Turnin' down groupies, now they think I'm gettin' selfish I'm not cocky, I'm just confident Wave you off, move along, if you not convinced Got way too much shit up on my shoppin' list While you're broke, doin' coke, tryna copy Vince Hop off the dick, let me be on my way I don't pay attention, stay havin' good days, so They think that I'ma lose my mind out here Ask me where I think I'll be this time next year But I don't care, I'm livin' it up, I'm livin' it up, I'm livin' it up Said I don't care, I'm li-li-li-li-li-li-li-li-livin' it up (Hey, hey) As I'm ridin' next to TreeJay (TreeJay), speedin' down the freeway Headin' to the money, no pause, no delay Racin' like a relay, hear me through the PA Cheef 'til I'm sleepin', fuck the D-to-the-E-A Uh, I'm in this game, no playin' for the pesos Try and dip into this cheese like queso Classes never seem to be there when they take role I was runnin' to my dream, tryna make mo' Music, make another song They tell me they supported, they was hatin' all along Love greater than the hate that I was gettin', didn't phase me for a second So lately I've been gettin' kinda crazy, and I mention To my lady when she stressin' that I'm cakin', it's a blessin' I'm just tryna get her in the right direction You want a war, then I'm comin' prepared Most Dope, put ya thumb in the air, motherfucker They think that I'ma lose my mind out here Ask me where I think I'll be this time next year But I don't care, I'm livin' it up, I'm livin' it up, I'm livin' it up Said I don't care, I'm li-li-li-li-li-li-li-li-livin' it up ""I think I'm having an overdose and so is my wife"" ""Overdose of what?"" ""Marijuana, I don't know if it had something in it, can you please send rescue?"" ""Did you guys have fever or anything?"" ""No I'm just, I think we're dying"" ""How much did you guys have?"" ""I don't know we made brownies..."" ""And I think we're dead, time is going by really, really, really, really slow."""
421,Unknown,"It's been a while since I— Been a while since I looked at myself When I was a child I used to say I was gon' grow up, be somethin' someday I guess I'm doin' alright, but there's always gonna be somethin' better Way too many long nights with the wrong vice, I want a life I remember I just want to write a song like somethin' God might listen to when he's stressed out When I was high, it was let down Got to remember that I'm blessed now I'm feelin' way too high I run away a lot Sometimes I really hate my thoughts It gets strange in my brain with no umbrella, but I stay in the rain It's been a while since I— It's been a while since I looked at myself Life be so strange (So strange) That's why you gotta see both ways (Both ways) And when it don't feel right right here, then you gotta relocate (Uh-huh) And we all feel, even if we don't feel the same But don't gotta be stuck in one place no more, we can relocate Never fly, but you always see those planes I get jealous We always try, but we don't change No matter what they tell us, yeah Head space full of dead weight When I'm stressed, still puttin' on my best face Never let 'em see no pain"
